Gender,Risk_Class,Issue_Age,Policy_Year,Rate
M,NS,18,1,0.66
M,NS,18,2,0.69
M,NS,18,3,0.71
M,NS,18,4,0.71
M,NS,18,5,0.69
M,NS,18,6,0.69
M,NS,18,7,0.68
M,NS,18,8,0.66
M,NS,18,9,0.57
M,NS,18,10,0.52
M,NS,18,11,0.5
M,NS,18,12,0.47
M,NS,18,13,0.46
M,NS,18,14,0.49
M,NS,18,15,0.52
M,NS,18,16,0.58
M,NS,18,17,0.66
M,NS,18,18,0.77
M,NS,18,19,0.89
M,NS,18,20,1.01
M,NS,18,21,1.11
M,NS,18,22,1.17
M,NS,18,23,1.24
M,NS,18,24,1.31
M,NS,18,25,1.4
M,NS,18,26,1.48
M,NS,18,27,1.54
M,NS,18,28,1.59
M,NS,18,29,1.65
M,NS,18,30,1.71
M,NS,18,31,1.79
M,NS,18,32,1.88
M,NS,18,33,1.99
M,NS,18,34,2.16
M,NS,18,35,2.36
M,NS,18,36,2.58
M,NS,18,37,2.8
M,NS,18,38,3.02
M,NS,18,39,3.22
M,NS,18,40,3.43
M,NS,18,41,3.66
M,NS,18,42,3.93
M,NS,18,43,4.28
M,NS,18,44,4.74
M,NS,18,45,5.27
M,NS,18,46,5.88
M,NS,18,47,6.54
M,NS,18,48,7.25
M,NS,18,49,8.02
M,NS,18,50,8.86
M,NS,18,51,9.79
M,NS,18,52,10.88
M,NS,18,53,12.16
M,NS,18,54,13.69
M,NS,18,55,15.48
M,NS,18,56,17.55
M,NS,18,57,19.89
M,NS,18,58,22.48
M,NS,18,59,25.32
M,NS,18,60,28.46
M,NS,18,61,31.99
M,NS,18,62,36.04
M,NS,18,63,40.76
M,NS,18,64,46.15
M,NS,18,65,52.27
M,NS,18,66,59.31
M,NS,18,67,67.48
M,NS,18,68,76.96
M,NS,18,69,87.87
M,NS,18,70,100.29
M,NS,18,71,114.02
M,NS,18,72,128.76
M,NS,18,73,144.17
M,NS,18,74,159.79
M,NS,18,75,175.3
M,NS,18,76,190.25
M,NS,18,77,203.94
M,NS,18,78,218.45
M,NS,18,79,235.54
M,NS,18,80,253.92
M,NS,18,81,273.64
M,NS,18,82,294.31
M,NS,18,83,315.52
M,NS,18,84,336.99
M,NS,18,85,358.54
M,NS,18,86,379.81
M,NS,18,87,400.44
M,NS,18,88,420.09
M,NS,18,89,438.4
M,NS,18,90,455.01
M,NS,18,91,469.56
M,NS,18,92,481.7
M,NS,18,93,491.07
M,NS,18,94,497.31
M,NS,18,95,500
M,NS,18,96,500
M,NS,18,97,500
M,NS,18,98,500
M,NS,18,99,500
M,NS,18,100,500
M,NS,18,101,500
M,NS,18,102,500
M,NS,18,103,500
M,NS,19,1,0.6
M,NS,19,2,0.62
M,NS,19,3,0.66
M,NS,19,4,0.63
M,NS,19,5,0.62
M,NS,19,6,0.61
M,NS,19,7,0.61
M,NS,19,8,0.56
M,NS,19,9,0.49
M,NS,19,10,0.46
M,NS,19,11,0.46
M,NS,19,12,0.45
M,NS,19,13,0.45
M,NS,19,14,0.5
M,NS,19,15,0.55
M,NS,19,16,0.59
M,NS,19,17,0.68
M,NS,19,18,0.8
M,NS,19,19,0.92
M,NS,19,20,1.04
M,NS,19,21,1.14
