Attained_Age,Rate
0,2.5
1,2.5
2,2.5
3,2.5
4,2.5
5,2.5
6,2.5
7,2.5
8,2.5
9,2.5
10,2.5
11,2.5
12,2.5
13,2.5
14,2.5
15,2.5
16,2.5
17,2.5
18,2.5
19,2.5
20,2.5
21,2.5
22,2.5
23,2.5
24,2.5
25,2.5
26,2.5
27,2.5
28,2.5
29,2.5
30,2.5
31,2.5
32,2.5
33,2.5
34,2.5
35,2.5
36,2.5
37,2.5
38,2.5
39,2.5
40,2.5
41,2.43
42,2.36
43,2.29
44,2.22
45,2.15
46,2.09
47,2.03
48,1.97
49,1.91
50,1.85
51,1.78
52,1.71
53,1.64
54,1.57
55,1.5
56,1.46
57,1.42
58,1.38
59,1.34
60,1.3
61,1.28
62,1.26
63,1.24
64,1.22
65,1.2
66,1.19
67,1.18
68,1.17
69,1.16
70,1.15
71,1.13
72,1.11
73,1.09
74,1.07
75,1.05
76,1.05
77,1.05
78,1.05
79,1.05
80,1.05
81,1.05
82,1.05
83,1.05
84,1.05
85,1.05
86,1.05
87,1.05
88,1.05
89,1.05
90,1.05
91,1.04
92,1.03
93,1.02
94,1.01
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
