Issue_Age,Policy_Year,Rate
18,1,1.8
18,2,1.8
18,3,1.8
18,4,1.8
18,5,1.8
18,6,1.8
18,7,1.8
18,8,1.8
18,9,1.8
18,10,1.8
18,11,0
19,1,1.9
19,2,1.9
19,3,1.9
19,4,1.9
19,5,1.9
19,6,1.9
19,7,1.9
19,8,1.9
19,9,1.9
19,10,1.9
19,11,0
20,1,2
20,2,2
20,3,2
20,4,2
20,5,2
20,6,2
20,7,2
20,8,2
20,9,2
20,10,2
20,11,0
21,1,2.1
21,2,2.1
21,3,2.1
21,4,2.1
21,5,2.1
21,6,2.1
21,7,2.1
21,8,2.1
21,9,2.1
21,10,2.1
21,11,0
22,1,2.2
22,2,2.2
22,3,2.2
22,4,2.2
22,5,2.2
22,6,2.2
22,7,2.2
22,8,2.2
22,9,2.2
22,10,2.2
22,11,0
23,1,2.3
23,2,2.3
23,3,2.3
23,4,2.3
23,5,2.3
23,6,2.3
23,7,2.3
23,8,2.3
23,9,2.3
23,10,2.3
23,11,0
24,1,2.4
24,2,2.4
24,3,2.4
24,4,2.4
24,5,2.4
24,6,2.4
24,7,2.4
24,8,2.4
24,9,2.4
24,10,2.4
24,11,0
25,1,2.5
25,2,2.5
25,3,2.5
25,4,2.5
25,5,2.5
25,6,2.5
25,7,2.5
25,8,2.5
25,9,2.5
25,10,2.5
25,11,0
26,1,2.6
26,2,2.6
26,3,2.6
26,4,2.6
26,5,2.6
26,6,2.6
26,7,2.6
26,8,2.6
26,9,2.6
26,10,2.6
26,11,0
27,1,2.7
27,2,2.7
27,3,2.7
27,4,2.7
27,5,2.7
27,6,2.7
27,7,2.7
27,8,2.7
27,9,2.7
27,10,2.7
27,11,0
28,1,2.8
28,2,2.8
28,3,2.8
28,4,2.8
28,5,2.8
28,6,2.8
28,7,2.8
28,8,2.8
28,9,2.8
28,10,2.8
28,11,0
29,1,2.9
29,2,2.9
29,3,2.9
29,4,2.9
29,5,2.9
29,6,2.9
29,7,2.9
29,8,2.9
29,9,2.9
29,10,2.9
29,11,0
30,1,3
30,2,3
30,3,3
30,4,3
30,5,3
30,6,3
30,7,3
30,8,3
30,9,3
30,10,3
30,11,0
